label,id,waktu,text
RELEVANT,1.39E+18,Fri Apr 23 12:38:07 +0000 2021,"sch! katanya nih tahun ajaran baru nanti sekolah offline ya? kalian takut gak sih? jujur karena selama ini aku apa-apa google terus.. gimana nanti di kelas, terutama ulangannya ・E・E・Eｩ"
RELEVANT,1.39E+18,Fri Apr 23 11:40:07 +0000 2021,jujur aja gamau kuliah offline di kelas. paling engga hybrid aja deh jangan offline full. gue cuma mau ngumpulnya aja gamau kuliah offlinenya
RELEVANT,1.39E+18,Fri Apr 23 11:00:30 +0000 2021,@collegemenfess Jangan terlalu semangat masuk kelas pagi pagi kalau offline ntar kecewa gaada dosen
RELEVANT,1.39E+18,Fri Apr 23 09:16:45 +0000 2021,"@fullshan_ Iya asli abis kelas tuh kyk cape banget wkwkwk 
Tapi belum siap offline kyk udh terlanjur nyaman online wkwkwkwkwk・E・E・E・E"
RELEVANT,1.39E+18,Fri Apr 23 08:19:58 +0000 2021,sch! kalo kelas 12 itu butuh tambahan les offline diluar sekolah ga sih? aku takut kalo les offline ga bisa aku manfaatin scr maksimal apalagi pandemi kek gini :(
RELEVANT,1.39E+18,Fri Apr 23 07:49:12 +0000 2021,"@collegemenfess punten nanya, tapi emang dulu pas lagi kelas offline terus ngebosenin, dosen lu main ulernaga panjang apa begimana?"
RELEVANT,1.39E+18,Fri Apr 23 04:50:10 +0000 2021,"@Cofflatteee @collegemenfess kampusku max 24 kok, cuma kelas asdos ga dihitung max sks itu jadi aku sempet nyicip 30 sks karena ambil 3 kelas asdos・E・E・E・E untung itu pas awal2 corona jd setengahnya online wkwkwk pas offline cape bangaaatt"
RELEVANT,1.39E+18,Fri Apr 23 04:19:52 +0000 2021,"Males bgt mau offline, nanggung loh bentar lagi kenaikan kelas keburu buru amat dh ・E・E・E・E・E・E・E・E"
RELEVANT,1.39E+18,Fri Apr 23 03:21:54 +0000 2021,"@collegemenfess Punya temen pas kuliah offline gue ga suka dia, ehh pas online dia yg sering nolongin gue huhuhu. Skrg udah beda kelas, tp kalo mau julid yaa sama dia wkwk"
RELEVANT,1.39E+18,Fri Apr 23 01:04:55 +0000 2021,"@subschfess Temen kelas, interaksi online aja males apalagi offline, ga cocok aja sama orang2nya wkwk"
RELEVANT,1.39E+18,Thu Apr 22 15:48:24 +0000 2021,"@bbiillkinn Lebih ke jadwal kelas jadi ga teratur sih, tapi temen temenku lebih suka online daripada offline :')"
RELEVANT,1.39E+18,Thu Apr 22 13:56:56 +0000 2021,"Sch! Zenius ultima yay or nay? Aku rencana kelas 12 mau ambil ituu, soalnya lbh murah dibanding bimbel offline"
RELEVANT,1.38E+18,Tue Apr 20 07:07:05 +0000 2021,"panik, takut sekolah tatap muka"
RELEVANT,1.38E+18,Tue Apr 20 07:01:07 +0000 2021,"RT @TeukuParvinanda: ""Infeksi pada anak rendah"". Situ mau anaknya dilepas sekolah tatap muka dgn situasi berisiko gini? Situ aja semua serb・ｦ"
RELEVANT,1.38E+18,Tue Apr 20 06:23:50 +0000 2021,Dapet berita sekolah tatap muka bukanya seneng malah LEMES
RELEVANT,1.38E+18,Tue Apr 20 06:17:29 +0000 2021,Gue hari Kamis sekolah tatap muka・・・・plisss gamauuu males
RELEVANT,1.38E+18,Tue Apr 20 05:26:17 +0000 2021,"Alasan Menunda Sekolah Tatap Muka

1. Muncul varian SARS-CoV-2 yang lebih mudah menular
2. Meskipun anak bisa mengalami gejala COVID-19 yang ringan, tapi anak dapat menularkan virus ke orang yang lebih tua dan rentan kena COVID-19 yang berat."
RELEVANT,1.38E+18,Tue Apr 20 04:48:42 +0000 2021,"@detikcom Makan itu sekolah. Anak saya lbh baik tinggal kelas dr pd saya izinkan dia tatap muka, karena sy yg berdosa jk anak sy ketularan mentang2 raja Grab ..."
RELEVANT,1.38E+18,Tue Apr 20 04:47:01 +0000 2021,liat berita yang udah mulai menerapkan sekolah tatap muka malah jadi cluster baru.. hmm
RELEVANT,1.38E+18,Tue Apr 20 03:58:19 +0000 2021,"@schfess kontra, anak"" gk semuanya bisa tahan gk lepas masker, gk cuci tangan, gk jaga jarak. Jadi menurut gw justru klo masuk sekolah tatap muka malah naikin kasus covid RIa"
RELEVANT,1.38E+18,Tue Apr 20 03:48:56 +0000 2021,"@schfess KONTRA, sudah banyak kejadian yang percobaan sekolah tatap muka jadi klaster baru COVID-19. Untuk Indonesia, saat ini belum bisa dikendalikan kenaikan kasusnya. 3T (Pemerintah) belum maksimal ditambah masyarakat masih abai. Guru2 byk yg divaksin, tapi itu BUKAN jaminan."
RELEVANT,1.38E+18,Tue Apr 20 03:28:24 +0000 2021,"@schfess gue udh ngelakuin tatap muka dr bulan awal maret, dan hasilnyaaa... banyak banget yang ga pake masker, di jalan iya pake masker nyampe sekolah di lepas atau dicantelin doang disimpen dibawah dagu, gurunya yg pake masker cuman 10% dari semua banyak guru. ofc kontra buat sekolahku"
RELEVANT,1.38E+18,Tue Apr 20 03:21:02 +0000 2021,"Td walas aku ngeshare gform buat pernyataan pelajaran tatap muka, seneng sih. But, aiu dh kls 12 dh selesai US, ngapain ke sekolah?"
RELEVANT,1.38E+18,Tue Apr 20 03:07:32 +0000 2021,"@schfess Dan satu lagi,kalau lu positif trus jadi klaster baru,angka covid meledak ntar bisa"" tatap muka yg ada diundur lagi sat.
Jadi selama tatap muka gausah bandel"" ya jingan.
Jangan perkara lu gapatuh prokes,satu sekolah ditutup,satu provinsi ditutup
BACA NIH BUAT YANG PRO"
RELEVANT,1.38E+18,Tue Apr 20 03:01:10 +0000 2021,"Saya tidak menyalahkan siapapun saya hanya bercerita saya menyalahkan diri saya dan kondisi Covid ini yang sangat meresahkan, ini baru awal tatap muka di jawa barat semoga kedepannya lagi  sekolah tatap muka ini menjadi lebih baik.
#Merdekabelajar"
RELEVANT,1.38E+18,Mon Apr 19 20:12:50 +0000 2021,"@ernestprakasa Saya pribadi mmg ga setuju anak masuk tatap muka, rapat ortu saya menolak,bahkan klo dipaksa tatap muka thn ini, sy sdh rencana anak mengundurkan diri dr sekolah.drpd hrs kehilangan nyawa anak,wlw mnrt ortu lain mikirnya terlalu jauh, tapi ini kenyataan."
RELEVANT,1.38E+18,Mon Apr 19 16:06:34 +0000 2021,"Pleaseee baru inget besok sekolah tatap muka. Terus banyak tugas belum. Padahal dah niat kumpul besok, tapi lupa gara main twitter ・・ｺ"
RELEVANT,1.38E+18,Mon Apr 19 15:17:39 +0000 2021,"sumpah si bulan puasa blm siap bngt sekolah tatap muka,asa baru masuk benget udah pucet ajee"
RELEVANT,1.38E+18,Mon Apr 19 14:47:15 +0000 2021,"RT @ekakunjeri: Cah sekolah dipaksakan untuk uji coba tatap muka. 

Padahal ngkosik ta lah. 

Sabar sik. Delo maneh."
RELEVANT,1.38E+18,Mon Apr 19 14:43:22 +0000 2021,"Cah sekolah dipaksakan untuk uji coba tatap muka. 

Padahal ngkosik ta lah. 

Sabar sik. Delo maneh."
RELEVANT,1.38E+18,Mon Apr 19 14:28:58 +0000 2021,"dah disuruh ngisi angket persetujuan klo sekolah tatap muka 

tpi aq gamau..."
RELEVANT,1.38E+18,Mon Apr 19 14:20:32 +0000 2021,Ngapa napsu banget sekolah tatap muka sih? Sabar dulu lagi sebentar ngapa...
RELEVANT,1.38E+18,Mon Apr 19 14:15:00 +0000 2021,@HeraLoebss sekolah tatap muka jg belum boleh hehehe
RELEVANT,1.38E+18,Mon Apr 19 13:02:14 +0000 2021,"Tiba-tiba ada pengumuman bakal sekolah tatap muka, langsung dag dig dug serr gila・・､｡ takut.. materinya banyak yg blm paham skjdjsjo"
RELEVANT,1.38E+18,Mon Apr 19 12:58:09 +0000 2021,"Beneran ga kebayang ntar kalo sekolah tatap muka gimana. Kasian gurunya, muridnya cuma ngerti FF sama RP. Dijelasin pelajaran, 5 menit langsung lupa. 
*hasil observasi sepupu dan bocil komplek*"
RELEVANT,1.38E+18,Mon Apr 19 12:56:48 +0000 2021,Kondisi masih kayak gini mau sekolah tatap muka?
RELEVANT,1.38E+18,Mon Apr 19 11:11:04 +0000 2021,"@anggiedwidowati Pernah baca beberapa waktu lalu, ada daerah yg mulai menerapkan sekolah tatap muka tiba2 ada salah satu yang terkean covid."
RELEVANT,1.38E+18,Mon Apr 19 10:02:47 +0000 2021,@detikcom Kaya gini Menterinya nyuruh buka sekolah tatap muka ? Pandemi masih berlangsung pak. Ini sudah dikasih buktinya.
RELEVANT,1.38E+18,Mon Apr 19 09:49:16 +0000 2021,"@honeystarcereal Emang lagi capek aja nih aku kak, sekolah tatap muka ditambah gtw kenapa batin pun juga lagi capek huhu"
RELEVANT,1.38E+18,Mon Apr 19 08:32:22 +0000 2021,"@unearthlyriver Makanya kmrn aku msh ga setuju sekolah tatap muka, Hud. Anak kita disiplin prokes, anak orang lain belum tentu. Pas balikin buku petpustakaan aja pd gak pakai masker dg bener."
RELEVANT,1.38E+18,Mon Apr 19 07:31:52 +0000 2021,@detikcom Kayak gitu apakah masih ada yg mau memaksakan sekolah tatap muka selama masa pandemi ini belum berakhir???
RELEVANT,1.38E+18,Mon Apr 19 07:21:51 +0000 2021,"udah terlalu lama ga sekolah tatap muka, pas ada kabar mau dilaksanain malah jd males, ga se excited dulu2 ・・､ｧ"
RELEVANT,1.38E+18,Mon Apr 19 06:41:09 +0000 2021,"@ernestprakasa Bang, ketularannya ketika WFO lho, dan sekolah belum dibuka untuk tatap muka."
RELEVANT,1.38E+18,Mon Apr 19 06:26:09 +0000 2021,@BTS_twt ya bang baru sekolah tatap muka untung ga teriak
RELEVANT,1.38E+18,Mon Apr 19 04:53:50 +0000 2021,"Sekolah tatap muka adalah semacam uji nyali. Yg berani silakan maju duluan, yg belum tetap bertahan. Semangat tetap prokes"
RELEVANT,1.38E+18,Mon Apr 19 04:35:31 +0000 2021,"@detikcom Itu baru guru2 yg sudah kumpul2 di sekolah, bayangkan bencana yg terjadi klu sudah pengajaran tatap muka"
RELEVANT,1.38E+18,Mon Apr 19 04:19:02 +0000 2021,"@ernestprakasa Makany itu pihak pemda dan sekolah harus pinterﾂｲ menganalisa keadaan, jgn maksa tatap muka klo masih belum bisa. Harus ad kesadaran dan usaha dr bnyk pihak agar semuanya berjalan lancar."
RELEVANT,1.38E+18,Mon Apr 19 03:55:35 +0000 2021,"Sekolah tatap muka saya kurang setuju. Soalnya pas nanti pelajaran matematika, guru sama murid kadon papelong pelong. Ai 1+1 teu kaeusian. :("
RELEVANT,1.38E+18,Mon Apr 19 03:49:02 +0000 2021,Males bsk sekolah tatap muka hue ・・・・
RELEVANT,1.38E+18,Mon Apr 19 03:34:16 +0000 2021,"@nirwan_anestesi Dok..di berita ini sekolah belum menerapkan tatap muka, hanya guru2 aja yg masuk WFO sesuai jadwal Diknes Jateng. Gurunya tertular dari keluarganya."
RELEVANT,1.38E+18,Mon Apr 19 03:27:11 +0000 2021,"@mbahndi Klu sebegitu kepengennya anak sekolah tatap muka, anak Anda sajalah Pak, pindahkan ke sekolah yang tatap muka."
RELEVANT,1.38E+18,Mon Apr 19 03:26:14 +0000 2021,"Yaallah tanggal 28 ujian sekolah tatap muka lagi
Ga paham apa apa gimana ・・・ｭ・・・ｭ"
RELEVANT,1.38E+18,Mon Apr 19 02:38:30 +0000 2021,@detikcom Sekolah tatap muka masih terlalu beresiko
RELEVANT,1.38E+18,Mon Apr 19 02:31:15 +0000 2021,cape bgt sekolah tatap muka
RELEVANT,1.38E+18,Mon Apr 19 02:12:16 +0000 2021,knp ujian sekolah nya tatap muka? sumpah takut gak bisa ngisinya
RELEVANT,1.38E+18,Mon Apr 19 02:07:46 +0000 2021,"@barryallen_1st Gimana Dunia pendidikan pak?? Kok gak ada yg dukung 1000%,untuk sekolah tatap muka???"
RELEVANT,1.38E+18,Mon Apr 19 01:45:04 +0000 2021,@ernestprakasa Setuju bgt ka! Pagi ini nganter ibun ke sekolah buat ngajar tatap muka lagi setelah setahun + guru2 terutama ibun belum vaksin padahal guru2 di sekolah lain udah dan rasanya campur aduk.. cuma bisa doain aja biar lancar
RELEVANT,1.38E+18,Mon Apr 19 01:40:23 +0000 2021,"@Givetrust2other Ini yg jg saya kuatirkan jk buka sekolah tatap muka terlalu awal, krn dibawah 18 thn blm tau akn divaksin kapan, jd mereka ini yg akn jd OTG di sekolah"" yg buka tatap muka ・・・ｱ"
RELEVANT,1.38E+18,Mon Apr 19 01:25:14 +0000 2021,"Serptinya gw bakal jarang on deh, ini sekolah gw ngapain sih pake ngadain tatap muka. Vaksin dulu noh yang bener, sekolah lain dah dapet kok sekolah gw yang belom. Malah masih swab doang, yang positif 5, meninggal 1. Gitu masih nyuruh tatap muka, kucing lo? Nyawanya 9?"
RELEVANT,1.38E+18,Mon Apr 19 01:24:41 +0000 2021,@detikcom Sudah d uji cobak sekolah tatap muka muncullah kasus baru d sekolah setelah itu lockdown lagi.  libur lagi sampai 2 th sampai anak2 gak tau keteman sekolahnya sampai mereka lulus.・・・ｭ・・・ｭ・・・ｭ
RELEVANT,1.38E+18,Mon Apr 19 01:21:54 +0000 2021,Hari pertama sekolah tatap muka siswa istimewa rewel ga mau masuk kelas wkwkw okay sipp ・・､ｦ・・・ｻ・・・・・ｸ・
RELEVANT,1.38E+18,Mon Apr 19 00:25:37 +0000 2021,"@blogdokter di kelas anak saya, ortu udah disurvei. Yg setuju sekolah tatap muka dengan embel2 prokes ketat menang 3x lipat. Saya selaku yg ga setuju, lagi ketar ketir nih"
RELEVANT,1.38E+18,Mon Apr 19 00:16:37 +0000 2021,"Kebiasaan sekolah w kalo ada pengumuman selalu mendadak, semalem jam 10 tbtb pengumuman hari ini masuk sekolah tatap muka, give us time buat mencerna dulu gt loh・・・｢・・・｢・・・｢・・・｢"
RELEVANT,1.38E+18,Sun Apr 18 22:39:23 +0000 2021,disaat seperti ini gua benci banget sekolah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 22:26:31 +0000 2021,"Ah anjir apa coba, disaat orang orang libur sekolah, gue malah sekolah tatap muka, magerrrr tau gaaaa mana bulan puasa, walaupun gue sekarang lagi cuti, tapi ya.......... Anj"
RELEVANT,1.38E+18,Sun Apr 18 22:06:06 +0000 2021,ini apa cuma sekolah gue aja yang dari awal udh tatap muka:(
RELEVANT,1.38E+18,Sun Apr 18 21:58:23 +0000 2021,@vzteez_ yh ni karna sekolah gue terpilih untuk pembelajaran tatap muka jdi gini nih ah elah ・・･ｰmana tadi ga saur・・・・
RELEVANT,1.38E+18,Sun Apr 18 21:51:24 +0000 2021,huhu hari ini sekolah nya tatap muka
RELEVANT,1.38E+18,Sun Apr 18 21:47:32 +0000 2021,"RT @Netizen62: @detikcom ""Suratno menegaskan, SMA Negeri 1 Gondang belum menerapkan kebijakan pembelajaran tatap muka (PTM) atau sekolah ta・ｦ"
RELEVANT,1.38E+18,Sun Apr 18 21:28:10 +0000 2021,Beneran udah ada sekolah yang tatap muka? Divaksin semua juga belum. Padahal divaksin juga belum tentu kebal sama virusnya. :|.
RELEVANT,1.38E+18,Sun Apr 18 21:27:34 +0000 2021,"@aik_arif Jateng-jatim itu angka testing-tracing nya rendah, belum kepatuhan prokes nya juga rendah, mereka sudah mengadakan tatap muka sekolah 2 bulan lebih..
Biarkan saja mereka, kita cuma nonton aja apa yg terjadi kemudian..
Nekat sekali mereka..."
RELEVANT,1.38E+18,Sun Apr 18 21:26:46 +0000 2021,"@detikcom ""Suratno menegaskan, SMA Negeri 1 Gondang belum menerapkan kebijakan pembelajaran tatap muka (PTM) atau sekolah tatap muka. Meski begitu, sebagian guru tetap masuk ke sekolah sesuai kebijakan WFH dan WFO dari Dinas Pendidikan Jawa Tengah."" ・・､・"
RELEVANT,1.38E+18,Sun Apr 18 21:10:09 +0000 2021,@choutzuyuui pulkam sendiri karna muk sekolah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 21:09:53 +0000 2021,@yujinscrush pulkam sendiri karna muk sekolah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 21:07:27 +0000 2021,ak males sekolah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 21:03:42 +0000 2021,"@Stakof Dari artikelnya di sekolah tersebut belum PTM Gus ・・・・・・・ｽ : Suratno menegaskan, SMA Negeri 1 Gondang belum menerapkan kebijakan pembelajaran tatap muka (PTM) atau sekolah tatap muka"
RELEVANT,1.38E+18,Sun Apr 18 21:03:20 +0000 2021,"@trendingtopiq Dari artikelnya di sekolah tersebut belum PTM : Suratno menegaskan, SMA Negeri 1 Gondang belum menerapkan kebijakan pembelajaran tatap muka (PTM) atau sekolah tatap muka"
RELEVANT,1.38E+18,Sun Apr 18 20:53:25 +0000 2021,"・・ｦ・ gais, mending lanjut tidur apa gk? aku ada sekolah sih pagi ini mana tatap muka lagi ・・・・"
RELEVANT,1.38E+18,Sun Apr 18 19:50:30 +0000 2021,"Sekolah tatap muka, disaat kecepatan jumlah screening di daerah masih jauh dari kata ideal"
RELEVANT,1.38E+18,Sun Apr 18 19:20:31 +0000 2021,"@kat_studiesss maless sebenernya kakk huhuu, terimakasih banyaak ・・・ｷ・・・ｷ semoga beneran tatap muka FULL SATU SEKOLAH TATAP MUKA BIAR SERU AAMIIN"
RELEVANT,1.38E+18,Sun Apr 18 19:14:12 +0000 2021,"hari ini aku sekolah tatap muka. hhhhh, malesss"
RELEVANT,1.38E+18,Sun Apr 18 16:24:12 +0000 2021,"Besok ku sekolah tatap muka 
Malas sekali ・・・・・・・・"
RELEVANT,1.38E+18,Sun Apr 18 15:41:49 +0000 2021,"Selasa dah sekolah tatap muka, aku gapunya temen help ・・・ｭ・・・ｭ padahal udah mau naik kelas ・・・ｭ・・・ｭ"
RELEVANT,1.38E+18,Sun Apr 18 15:04:49 +0000 2021,@detikcom @KingsRich168 Duh..! Apakah sekolah akan tetap memaksa untuk KBM tatap muka? ・・・｢
RELEVANT,1.38E+18,Sun Apr 18 14:55:40 +0000 2021,"・・ｧ・ sekolah ndadak mode offline (tatap muka), kedandappan dong ini penjaitnya dikroyok bu ibu buat sragam anaknya ・・・ｭ"
RELEVANT,1.38E+18,Sun Apr 18 14:54:57 +0000 2021,"gue baru inget kalo besok senin dan besok sekolah tatap muka:"")"
RELEVANT,1.38E+18,Sun Apr 18 14:41:25 +0000 2021,masa habis libur sekolah nya langsung tatap muka walau ga semua tpi males ・・・ｩ・・・・
RELEVANT,1.38E+18,Sun Apr 18 13:53:13 +0000 2021,"@sandiuno Mau nangis kek..
Mau mewek kek...
Bodo amat... 
Mudik gak Boleh
Sekolah tatap muka masih gak bole
Tapi promosi nonton di Bioskop..."
RELEVANT,1.38E+18,Sun Apr 18 13:23:01 +0000 2021,"tolong semangatin gue, besok kbm tatap muka ke sekolah dan pelajaran pertama mtk wajib alias gue ga ngerti apa apa ajg ・・・ｸ・・・ｹ・・・・・・・ｻ"
RELEVANT,1.38E+18,Sun Apr 18 13:21:44 +0000 2021,@PartaiSocmed terlalu gegabah dan sangat riskan sekali untuk saat ini mengadakan sekolah dan kuliah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 13:18:17 +0000 2021,@arctuslunar yah aku mulai besok sekolah tatap muka
RELEVANT,1.38E+18,Sun Apr 18 12:42:09 +0000 2021,besok gue sekolah tatap muka jiakhh
RELEVANT,1.38E+18,Sun Apr 18 12:30:46 +0000 2021,Hadeh besok dah sekolah tatap muka aja :(
RELEVANT,1.38E+18,Sun Apr 18 12:14:24 +0000 2021,Ternyiti nyiapin protokol anak sekolah yg mau mulai tatap muka ngelu kan maen・・･ｲ syap syap diantar jemput ya pak bu anaknya~ ・・､､
