,text,waktu,jumlah kata,jam,label
2,jangan terlalu semangat masuk kelas pagi pagi kalau offline ntar kecewa gaada dosen,2021-04-23 11:00:30+00:00,13,siang,1
3,iya asli abis kelas tuh kyk cape banget wkwkwk belum siap offline kyk udh lanjur nyaman online wkwkwkwkwk,2021-04-23 09:16:45+00:00,18,siang,1
5,punten nanya emang dulu pas kelas offline terus ngebosenin dosen main ulernaga panjang apa begimana,2021-04-23 07:49:12+00:00,15,pagi,1
6,kampus max kok cuma kelas asdos hitung max sks jadi aku sempet nyicip sks ambil kelas asdos untung pas awal corona tengah online wkwkwk pas offline cape bangaatt,2021-04-23 04:50:10+00:00,28,pagi,1
7,males bgt mau offline nanggung loh bentar naik kelas keburu buru,2021-04-23 04:19:52+00:00,11,pagi,1
9,temen kelas interaksi online aja males offline cocok aja sama orang nya wkwk,2021-04-23 01:04:55+00:00,13,pagi,1
10,lebih jadwal kelas jadi atur sih temen temenku lebih suka online offline,2021-04-22 15:48:24+00:00,12,siang,1
11,sch zenius ultima yay nay aku rencana kelas mau ambil ituu soal lbh murah banding bimbel offline,2021-04-22 13:56:56+00:00,17,siang,1
12,panik takut sekolah tatap muka,2021-04-20 07:07:05+00:00,5,pagi,1
14,dapet berita sekolah tatap muka buka neng malah lemes,2021-04-20 06:23:50+00:00,9,pagi,1
15,gue hari kamis sekolah tatap muka pliss gamauu males,2021-04-20 06:17:29+00:00,9,pagi,1
16,alas tunda sekolah tatap muka muncul varian sars cov lebih mudah tular meski anak alami gejala covid ringan anak tular virus orang lebih tua rentan kena covid berat,2021-04-20 05:26:17+00:00,28,pagi,1
18,liat berita udah mulai terap sekolah tatap muka malah jadi cluster baru hmm,2021-04-20 04:47:01+00:00,13,pagi,1
19,kontra anak semua tahan lepas masker cuci tangan jaga jarak jadi justru klo masuk sekolah tatap muka malah naikin kasus covid ria,2021-04-20 03:58:19+00:00,22,pagi,1
20,kontra banyak jadi coba sekolah tatap muka jadi klaster baru covid indonesia ini bisa kendali naik kasus perintah maksimal tambah masyarakat abai guru byk vaksin itu bukan jamin,2021-04-20 03:48:56+00:00,28,pagi,1
21,gue udh ngelakuin tatap muka bulan awal maret hasilnyaa banyak banget pake masker jalan iya pake masker nyampe sekolah lepas dicantelin doang disimpen bawah dagu guru pake masker cuman semua banyak guru ofc kontra buat sekolah,2021-04-20 03:28:24+00:00,36,pagi,1
22,walas aku ngeshare gform buat nyata ajar tatap muka neng sih but aiu kls selesai ngapain sekolah,2021-04-20 03:21:02+00:00,17,pagi,1
23,satu kalau positif trus jadi klaster baru angka covid ledak ntar tatap muka undur sat jadi lama tatap muka gausah bandel jingan jangan perkara gapatuh prokes satu sekolah tutup satu provinsi tutup baca nih buat pro,2021-04-20 03:07:32+00:00,36,pagi,1
24,tidak salah siapa hanya cerita salah diri dan kondisi covid yang sangat resah baru awal tatap muka jawa barat moga depan sekolah tatap muka jadi lebih baik merdekabelajar,2021-04-20 03:01:10+00:00,28,pagi,1
25,pribadi mmg tuju anak masuk tatap muka rapat ortu tolak bahkan klo paksa tatap muka thn sdh rencana anak undur diri sekolah drpd hrs hilang nyawa anak wlw mnrt ortu mikirnya terlalu jauh ini nyata,2021-04-19 20:12:50+00:00,35,malam,1
26,pleasee baru inget besok sekolah tatap muka terus banyak tugas padahal dah niat kumpul besok lupa gara main twitter,2021-04-19 16:06:34+00:00,19,siang,1
27,sumpah bulan puasa blm siap bngt sekolah tatap muka asa baru masuk benget udah pucet ajee,2021-04-19 15:17:39+00:00,16,siang,1
29,cah sekolah paksa uji coba tatap muka padahal ngkosik lah sabar sik delo maneh,2021-04-19 14:43:22+00:00,14,siang,1
30,dah suruh ngisi angket tuju klo sekolah tatap muka tpi gamau,2021-04-19 14:28:58+00:00,11,siang,1
31,ngapa napsu banget sekolah tatap muka sih sabar dulu sebentar ngapa,2021-04-19 14:20:32+00:00,11,siang,1
32,sekolah tatap muka boleh hehehe,2021-04-19 14:15:00+00:00,5,siang,1
33,tiba tiba umum bakal sekolah tatap muka langsung dag dig dug serr gila takut materi banyak blm paham skjdjsjo,2021-04-19 13:02:14+00:00,19,siang,1
