,text,target
0,sch kata nih tahun ajar baru sekolah offline kalian takut gak sih jujur lama aku apa apa google terus gimana kelas utama ulang,Negatives
1,jujur aja gamau kuliah offline kelas paling engga hybrid aja deh jangan offline full gue cuma mau ngumpulnya aja gamau kuliah offlinenya,Negatives
2,jangan terlalu semangat masuk kelas pagi pagi kalau offline ntar kecewa gaada dosen,Negatives
3,iya asli abis kelas tuh kyk cape banget wkwkwk belum siap offline kyk udh lanjur nyaman online wkwkwkwkwk,Negatives
4,sch kalo kelas butuh tambah les offline luar sekolah sih aku takut kalo les offline aku manfaatin scr maksimal pandemi kek gin,Negatives
5,punten nanya emang dulu pas kelas offline terus ngebosenin dosen main ulernaga panjang apa begimana,Negatives
6,kampus max kok cuma kelas asdos hitung max sks jadi aku sempet nyicip sks ambil kelas asdos untung pas awal corona tengah online wkwkwk pas offline cape bangaatt,Negatives
7,males bgt mau offline nanggung loh bentar naik kelas keburu buru,Negatives
8,punya temen pas kuliah offline gue suka ehh pas online sering nolongin gue huhuhu skrg udah beda kelas kalo mau julid yaa sama wkwk,Negatives
9,temen kelas interaksi online aja males offline cocok aja sama orang nya wkwk,Negatives
10,lebih jadwal kelas jadi atur sih temen temenku lebih suka online offline,Negatives
11,sch zenius ultima yay nay aku rencana kelas mau ambil ituu soal lbh murah banding bimbel offline,Negatives
12,panik takut sekolah tatap muka,Negatives
13,infeksi anak rendah situ mau anak lepas sekolah tatap muka dgn situasi risiko gin situ aja semua serb,Negatives
14,dapet berita sekolah tatap muka buka neng malah lemes,Negatives
15,gue hari kamis sekolah tatap muka pliss gamauu males,Negatives
16,alas tunda sekolah tatap muka muncul varian sars cov lebih mudah tular meski anak alami gejala covid ringan anak tular virus orang lebih tua rentan kena covid berat,Negatives
17,makan sekolah anak lbh baik tinggal kelas izin tatap muka dosa anak tular mentang raja grab,Negatives
18,liat berita udah mulai terap sekolah tatap muka malah jadi cluster baru hmm,Negatives
19,kontra anak semua tahan lepas masker cuci tangan jaga jarak jadi justru klo masuk sekolah tatap muka malah naikin kasus covid ria,Negatives
20,kontra banyak jadi coba sekolah tatap muka jadi klaster baru covid indonesia ini bisa kendali naik kasus perintah maksimal tambah masyarakat abai guru byk vaksin itu bukan jamin,Negatives
21,gue udh ngelakuin tatap muka bulan awal maret hasilnyaa banyak banget pake masker jalan iya pake masker nyampe sekolah lepas dicantelin doang disimpen bawah dagu guru pake masker cuman semua banyak guru ofc kontra buat sekolah,Negatives
22,walas aku ngeshare gform buat nyata ajar tatap muka neng sih but aiu kls selesai ngapain sekolah,Negatives
23,satu kalau positif trus jadi klaster baru angka covid ledak ntar tatap muka undur sat jadi lama tatap muka gausah bandel jingan jangan perkara gapatuh prokes satu sekolah tutup satu provinsi tutup baca nih buat pro,Negatives
24,tidak salah siapa hanya cerita salah diri dan kondisi covid yang sangat resah baru awal tatap muka jawa barat moga depan sekolah tatap muka jadi lebih baik merdekabelajar,Negatives
25,pribadi mmg tuju anak masuk tatap muka rapat ortu tolak bahkan klo paksa tatap muka thn sdh rencana anak undur diri sekolah drpd hrs hilang nyawa anak wlw mnrt ortu mikirnya terlalu jauh ini nyata,Negatives
26,pleasee baru inget besok sekolah tatap muka terus banyak tugas padahal dah niat kumpul besok lupa gara main twitter,Negatives
27,sumpah bulan puasa blm siap bngt sekolah tatap muka asa baru masuk benget udah pucet ajee,Negatives
28,cah sekolah paksa uji coba tatap muka padahal ngkosik lah sabar sik delo maneh,Negatives
29,cah sekolah paksa uji coba tatap muka padahal ngkosik lah sabar sik delo maneh,Negatives
30,dah suruh ngisi angket tuju klo sekolah tatap muka tpi gamau,Negatives
31,ngapa napsu banget sekolah tatap muka sih sabar dulu sebentar ngapa,Negatives
32,sekolah tatap muka boleh hehehe,Negatives
33,tiba tiba umum bakal sekolah tatap muka langsung dag dig dug serr gila takut materi banyak blm paham skjdjsjo,Negatives
34,beneran bayang ntar kalo sekolah tatap muka gimana kasi guru murid cuma ngerti sama dijelasin ajar menit langsung lupa hasil observasi sepupu bocil komplek,Negatives
35,kondisi kayak gin mau sekolah tatap muka,Negatives
36,pernah baca beberapa waktu lalu daerah mulai terap sekolah tatap muka tiba salah satu terkean covid,Negatives
37,kaya gin menteri nyuruh buka sekolah tatap muka pandemi langsung pak sudah kasih bukti,Negatives
38,emang capek aja nih aku kak sekolah tatap muka tambah gtw batin juga capek huhu,Negatives
39,makanya kmrn aku msh tuju sekolah tatap muka hud anak disiplin prokes anak orang belum pas balikin buku petpustakaan aja gak pakai masker bener,Negatives
40,kayak gitu masih mau paksa sekolah tatap muka lama masa pandemi belum akhir,Negatives
41,udah terlalu lama sekolah tatap muka pas kabar mau dilaksanain malah males excited dulu,Negatives
42,bang tular wfo lho sekolah buka tatap muka,Negatives
43,bang baru sekolah tatap muka untung teriak,Negatives
44,sekolah tatap muka macam uji nyali berani sila maju duluan tetap tahan semangat tetap prokes,Negatives
45,baru guru kumpul sekolah bayang bencana jadi klu ajar tatap muka,Negatives
46,makany pihak pemda sekolah pinter menganalisa ada jgn maksa tatap muka klo belum sadar usaha bnyk pihak semua jalan lancar,Negatives
47,sekolah tatap muka kurang tuju soal pas ajar matematika guru sama murid kadon papelong pelong teu kaeusian,Negatives
48,males bsk sekolah tatap muka hue,Negatives
49,dok berita sekolah terap tatap muka guru aja masuk wfo sesuai jadwal diknes jateng guru tular keluarga,Negatives
50,klu begitu ken anak sekolah tatap muka anak saja pak pindah sekolah tatap muka,Negatives
51,yaallah tanggal uji sekolah tatap muka paham apa apa gimana,Negatives
52,sekolah tatap muka terlalu resiko,Negatives
53,cape bgt sekolah tatap muka,Negatives
54,knp uji sekolah nya tatap muka sumpah takut gak ngisinya,Negatives
55,gimana dunia didik pak kok gak dukung sekolah tatap muka,Negatives
56,tuju bgt pagi nganter ibun sekolah buat ngajar tatap muka telah tahun guru utama ibun vaksin padahal guru sekolah udah rasa campur aduk cuma doain aja biar lancar,Negatives
57,kuatirkan buka sekolah tatap muka terlalu awal krn bawah thn blm tau akn vaksin kapan ini akn otg sekolah buka tatap muka,Negatives
58,serptinya bakal jarang deh sekolah ngapain sih pake ngadain tatap muka vaksin dulu noh bener sekolah dah dapet kok sekolah bom malah swab doang positif tinggal gitu nyuruh tatap muka kucing nyawa,Negatives
59,uji cobak sekolah tatap muka muncul kasus baru sekolah itu lockdown libur anak gak tau tem sekolah sampai mereka lulus,Negatives
60,hari pertama sekolah tatap muka siswa istimewa rewel mau masuk kelas wkwkw okay sipp,Negatives
61,kelas anak ortu udah survei tuju sekolah tatap muka embel prokes ketat menang lipat selaku tuju ketar tir nih,Negatives
62,biasa sekolah kalo umum selalu dadak semalem jam tbtb umum hari masuk sekolah tatap muka give time buat cerna dulu loh,Negatives
63,saat ini gua benci banget sekolah tatap muka,Negatives
64,anjir apa coba saat orang orang libur sekolah gue malah sekolah tatap muka magerr tau gaa mana bulan puasa walaupun gue sekarang cuti anj,Negatives
65,apa cuma sekolah gue aja dari awal udh tatap muka,Negatives
66,karna sekolah gue pilih ajar tatap muka jdi gin nih elah mana tadi saur,Negatives
67,huhu hari sekolah nya tatap muka,Negatives
68,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah,Negatives
69,beneran udah sekolah tatap muka vaksin semua belum padahal vaksin belum kebal sama virus,Negatives
70,jateng jatim angka testing tracing nya rendah patuh prokes nya rendah sudah ada tatap muka sekolah bulan lebih biar cuma nonton aja apa jadi kemudian nekat sekali mereka,Negatives
71,suratno tegas sma negeri gondang terap bijak ajar tatap muka ptm sekolah tatap muka meski bagi guru tetap masuk sekolah sesuai bijak wfh wfo dinas didik jawa tengah,Negatives
72,pulkam sendiri karna muk sekolah tatap muka,Negatives
73,pulkam sendiri karna muk sekolah tatap muka,Negatives
74,males sekolah tatap muka,Negatives
