,text,target
0,sch kata nih tahun ajar baru sekolah offline kalian takut gak sih jujur lama aku apa apa google terus gimana kelas utama ulang,Relevant
1,jujur aja gamau kuliah offline kelas paling engga hybrid aja deh jangan offline full gue cuma mau ngumpulnya aja gamau kuliah offlinenya,Relevant
2,jangan terlalu semangat masuk kelas pagi pagi kalau offline ntar kecewa gaada dosen,Relevant
3,iya asli abis kelas tuh kyk cape banget wkwkwk belum siap offline kyk udh lanjur nyaman online wkwkwkwkwk,Relevant
4,sch kalo kelas butuh tambah les offline luar sekolah sih aku takut kalo les offline aku manfaatin scr maksimal pandemi kek gin,Relevant
5,punten nanya emang dulu pas kelas offline terus ngebosenin dosen main ulernaga panjang apa begimana,Relevant
6,kampus max kok cuma kelas asdos hitung max sks jadi aku sempet nyicip sks ambil kelas asdos untung pas awal corona tengah online wkwkwk pas offline cape bangaatt,Relevant
7,males bgt mau offline nanggung loh bentar naik kelas keburu buru,Relevant
8,punya temen pas kuliah offline gue suka ehh pas online sering nolongin gue huhuhu skrg udah beda kelas kalo mau julid yaa sama wkwk,Relevant
9,temen kelas interaksi online aja males offline cocok aja sama orang nya wkwk,Relevant
10,lebih jadwal kelas jadi atur sih temen temenku lebih suka online offline,Relevant
11,sch zenius ultima yay nay aku rencana kelas mau ambil ituu soal lbh murah banding bimbel offline,Relevant
12,panik takut sekolah tatap muka,Relevant
13,infeksi anak rendah situ mau anak lepas sekolah tatap muka dgn situasi risiko gin situ aja semua serb,Relevant
14,dapet berita sekolah tatap muka buka neng malah lemes,Relevant
15,gue hari kamis sekolah tatap muka pliss gamauu males,Relevant
16,alas tunda sekolah tatap muka muncul varian sars cov lebih mudah tular meski anak alami gejala covid ringan anak tular virus orang lebih tua rentan kena covid berat,Relevant
17,makan sekolah anak lbh baik tinggal kelas izin tatap muka dosa anak tular mentang raja grab,Relevant
18,liat berita udah mulai terap sekolah tatap muka malah jadi cluster baru hmm,Relevant
19,kontra anak semua tahan lepas masker cuci tangan jaga jarak jadi justru klo masuk sekolah tatap muka malah naikin kasus covid ria,Relevant
20,kontra banyak jadi coba sekolah tatap muka jadi klaster baru covid indonesia ini bisa kendali naik kasus perintah maksimal tambah masyarakat abai guru byk vaksin itu bukan jamin,Relevant
21,gue udh ngelakuin tatap muka bulan awal maret hasilnyaa banyak banget pake masker jalan iya pake masker nyampe sekolah lepas dicantelin doang disimpen bawah dagu guru pake masker cuman semua banyak guru ofc kontra buat sekolah,Relevant
22,walas aku ngeshare gform buat nyata ajar tatap muka neng sih but aiu kls selesai ngapain sekolah,Relevant
23,satu kalau positif trus jadi klaster baru angka covid ledak ntar tatap muka undur sat jadi lama tatap muka gausah bandel jingan jangan perkara gapatuh prokes satu sekolah tutup satu provinsi tutup baca nih buat pro,Relevant
